problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,split_method,split_fraction,num_subproblems,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
UsCarrier.graphml,158,378,2021178515,gravity,8.0,24805,5313.4619140625,pop,random,0.5,16,4,True,inv-cap,total_flow,5313.461879800016,0.028787851333618164
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0.5,16,4,True,inv-cap,total_flow,372875.0,0.010151863098144531
UsCarrier.graphml,158,378,2021178515,gravity,8.0,24805,5313.4619140625,pop,random,0.75,16,4,True,inv-cap,total_flow,5313.461879800016,0.02927088737487793
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0.75,16,4,True,inv-cap,total_flow,386000.0,0.010699033737182617
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,1.0,16,4,True,inv-cap,total_flow,386000.0,0.010509967803955078
UsCarrier.graphml,158,378,2021178515,gravity,8.0,24805,5313.4619140625,pop,random,1.0,16,4,True,inv-cap,total_flow,5313.461879800016,0.03697514533996582
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,0,16,4,True,inv-cap,total_flow,77072.16603947052,0.018347978591918945
UsCarrier.graphml,158,378,1416924748,gravity,32.0,24805,21322.865234375,pop,random,0,16,4,True,inv-cap,total_flow,15229.646045617761,0.05892205238342285
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,0.25,16,4,True,inv-cap,total_flow,218235.30707584522,0.010846853256225586
UsCarrier.graphml,158,378,1416924748,gravity,32.0,24805,21322.865234375,pop,random,0.25,16,4,True,inv-cap,total_flow,15229.060458373278,0.06317996978759766
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,0.5,16,4,True,inv-cap,total_flow,372187.5,0.017967939376831055
UsCarrier.graphml,158,378,1416924748,gravity,32.0,24805,21322.865234375,pop,random,0.5,16,4,True,inv-cap,total_flow,15251.043505746871,0.08252096176147461
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,0.75,16,4,True,inv-cap,total_flow,385947.5173149109,0.015951871871948242
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,1.0,16,4,True,inv-cap,total_flow,385947.4805679321,0.015955209732055664
UsCarrier.graphml,158,378,1416924748,gravity,32.0,24805,21322.865234375,pop,random,0.75,16,4,True,inv-cap,total_flow,15260.46263824031,0.12573790550231934
